Charity,What the charity does,Cost per WELLBY,"WELLBYs created per $1,000 donated",Duration of effect (years),Country income,Total sample,Total studies,Causal evidence,Evidence relevance,Depth of analysis,Publication status,Evaluator,What does it do (more detail),Dosage,Charity URL,Report URL,HLI recommendation
Pure Earth (Ghana),Advocacy for reducing lead exposure in cosmetics,9.4852,105.427402690507,lifetime,LMICs,947,2,no (longitudinal associative studies with adjustment),low,Medium,Published,Happier Lives Institute,Advocacy for reducing lead exposure (Advocacy campaign in Ghana),Advocacy campaign in Ghana,https://www.pureearth.org/,https://www.happierlivesinstitute.org/report/toxic-cosmetics-a-shallow-evaluation-of-pure-earth-advocacy-against-leaded-cosmetics-in-ghana/,Promising Charity
Taimaka,Treating acute malnutrition for infants,15.1515151515152,66,lifetime,LMICs,118370,18,yes (RCTs),low,Medium,Published,Happier Lives Institute,Treating acute malnutrition (2 months of therapeutic food),2 months of therapeutic food,https://taimaka.org/,https://www.happierlivesinstitute.org/report/how-treating-malnutrition-impacts-happiness-a-charity-evaluation-of-taimaka/,Promising Charity
Friendship Bench,Task-shifted psychotherapy,20.61,48.5201358563804,4,LMICs,35854,95,yes (meta-analysis of RCTs),medium,In-depth,Published,Happier Lives Institute,Psychotherapy (6 sessions),6 sessions,https://www.friendshipbenchzimbabwe.org/,https://www.happierlivesinstitute.org/report/the-wellbeing-cost-effectiveness-of-strongminds-and-friendship-bench-combining-a-systematic-review-and-meta-analysis-with-charity-related-data-nov-2024-update/,Top Charity
StrongMinds,Task-shifted group psychotherapy,24.77,40.371417036738,4,LMICs,35739,92,yes (meta-analysis of RCTs),medium,In-depth,Published,Happier Lives Institute,Psychotherapy (6 sessions),6 sessions,https://strongminds.org/,https://www.happierlivesinstitute.org/report/the-wellbeing-cost-effectiveness-of-strongminds-and-friendship-bench-combining-a-systematic-review-and-meta-analysis-with-charity-related-data-nov-2024-update/,Top Charity
ACTRA,CBT to reduce crime,27.29006,36.6433785781343,10,LMICs,15899,2,Mixed (RCT and associative study),low,Shallow,Published,Happier Lives Institute,CBT to reduce crime,12 sessions of CBT,https://www.actra.ngo/,https://www.happierlivesinstitute.org/report/the-promise-of-actra-preventing-crime-with-cognitive-behavioural-therapy/,Honourable Mention
Shamiri,Task-shifted group psychotherapy,30.37,32.927230819888,3.42,LMICs,2582,2,yes (meta-analysis of RCTs),high,Medium,Published,Happier Lives Institute,Psychotherapy in classrooms for adolescents,4 sessions,https://shamiri.co/,https://www.happierlivesinstitute.org/report/the-wellbeing-cost-effectiveness-of-the-shamiri-institute/,Honourable Mention
Fortify Health,Fortifying wheat flour with iron,46.189376443418,21.65,1,LMICs,1002135,25,no (associative studies with adjustment),medium,Medium,Published,Happier Lives Institute,Fortifying wheat flour with iron (1 year of fortified wheat),1 year of fortified wheat,https://www.fortifyhealth.global/,https://www.happierlivesinstitute.org/report/how-iron-fortification-impacts-happiness-a-charity-evaluation-of-fortify-health/,Not Currently Recommended
Tearfund,Religious community engagement,56.621071,17.6612696004991,1,LMICs,15314,1,no (comparing to non-randomised group without treatment),high,Medium,Published,State of Life,Religious community engagement,community engagement,https://www.tearfund.org/,https://learn.tearfund.org/en/resources/impact-reports/cct-local-church-lasting-transformation,Not Currently Recommended
Royal Voluntary Service,Volunteering,81.9854398090406,12.1972877419355,1,HIC (UK),4033,1,yes (RCT),high,Medium,Published,Krekel et al. 2024,Volunteering (15 tasks to help with COVID crisis),15 tasks to help with COVID crisis,https://www.royalvoluntaryservice.org.uk/,https://direct.mit.edu/rest/article-abstract/doi/10.1162/rest_a_01533/125418/Happy-to-Help-Welfare-Effects-of-a-Nationwide?redirectedFrom=fulltext,Not Currently Recommended
Action for Happiness,Happiness courses,100,10,1,HIC (UK),146,1,yes (RCT),medium,Shallow,Published,Krekel et al. 2021,Happiness courses (8 happiness courses),8 happiness courses,https://actionforhappiness.org/,https://www.sciencedirect.com/science/article/abs/pii/S0167268121002079?via%3Dihub,Not Currently Recommended
GiveDirectly,Cash transfers,132.3988,7.55293854627081,8,LMICs,35961,12,yes (meta-analysis of RCTs),high,In-depth,Published,Happier Lives Institute,"Cash transfers (one $1,000 CT)","one $1,000 CT",https://www.givedirectly.org/,https://www.happierlivesinstitute.org/givedirectly-comprehensive-summary/,Not Currently Recommended
Mandem Meetups,Community building,153.846153846154,6.5,1,HIC (UK),NA,1,no (pre-post with matched adjustment),high,Shallow,Published,Pro Bono Economics,"Community building, exercises, and meetings for men's mental health",Unclear,https://www.mandemmeetup.org/,https://pbe.co.uk/insights/showing-the-economic-value-of-being-small/,Not Currently Recommended
Parkrun,Exercise & volunteering,205.669834180214,4.86216174572189,1,HIC (UK),567,2,no (associative studies with adjustment),high,Medium,Published,State of Life,"Exercise, volunteer (going on more runs – unclear)",going on more runs – unclear,https://www.parkrun.com/,https://drive.google.com/file/d/1imx6DJ0-xehaMgDBpxBLiTdzO2QJVLUI/view,Not Currently Recommended
London Youth Rowing's Active Row,Exercise,500,2,Unclear (assume 1),HIC (UK),525,1,no (associative study),high,Medium,Published,State of Life,"Sport, exercise (unclear amount of sports training)",unclear amount of sports training,https://www.londonyouthrowing.com/,https://heyzine.com/flip-book/907baf2538.html#page/12,Not Currently Recommended
Safe Soulmates,Community building,911.458333333333,1.09714285714286,1,HIC (UK),NA,1,no (pre-post with matched adjustment),high,Shallow,Published,Pro Bono Economics,Community building for neurodivergent and disabled adults by providing a safe space,Unclear,https://safesoulmates.org/,https://pbe.co.uk/insights/another-small-charity-delivering-big-value/,Not Currently Recommended
Power2 Rediscovery,Youth mentoring,1353.26,0.738956298124529,1,HIC (UK),146,1,no (matched comparison group with difference-in-difference),high,Medium,Published,Pro Bono Economics,"It is a 10-week course, where facilitators support young people aged eight to 18, with a particular focus on their wellbeing, confidence, communication, and engagement at school.",10 week course,https://www.power2.org/,https://pbe.co.uk/publications/building-belonging-the-impact-and-value-of-one-to-one-support-on-young-peoples-wellbeing-and-school-attendance/,Not Currently Recommended
Walking with the Wounded Head Start,Mental health support,1674.81203007519,0.597081930415264,Unclear (assume 1),HIC (UK),118,1,no (matched comparison group with difference-in-difference),high,Medium,Published,Pro Bono Economics,Therapy  (unclear number of therapy sessions),unclear number of therapy sessions,https://walkingwiththewounded.org.uk/,https://pbe.co.uk/insights/the-wellbeing-impacts-of-walking-with-the-woundeds-programmes/,Not Currently Recommended
Factory International Schools Programme,Art engagement,2737.5,0.365296803652968,1,HIC (UK),181,1,no (matched comparison group with difference-in-difference),high,Medium,Published,Pro Bono Economics,Art engagement and workshops over an extended period of time for adolescents who might not have access otherwise.,unclear,https://factoryinternational.org/learning-programmes/#support,https://pbe.co.uk/publications/unlocking-creativity/,Not Currently Recommended
Restoration Trust: Human Henge,Mental health support,3568.93382352941,0.280195724954932,1,HIC (UK),20,1,no (associative study),high,Shallow,Published,Frijters & Krekel 2021,Mental health support (several months of mental health activities),several months of mental health activities,https://restorationtrust.org.uk/,https://library.oapen.org/bitstream/handle/20.500.12657/60760/1/9780192896803.pdf,Not Currently Recommended
The Wave Project,Mentoring and exercise,4541.13924050633,0.220209059233449,0.25,HIC (UK),435,1,no (pre-post with adjustment),high,Medium,Published,Pro Bono Economics,Surf Therapy: Exercise in a surfing club with mentorship,6 weeks then a club and the possibility of becoming a mentor,https://www.waveproject.co.uk/what-we-do/surf-therapy-2/,https://pbe.co.uk/publications/helping-funders-to-measure-what-matters/,Not Currently Recommended
Free2B,LGBTQ+ youth mentoring,5273.14291101056,0.189640223463687,1,HIC (UK),55,1,no (matched comparison group with difference-in-difference),high,Medium,Published,Pro Bono Economics,Mentoring and support for LGBTQ+ youths.,6-10 30-60 min sessions,https://free2b.lgbt/,https://pbe.co.uk/publications/seen-safe-and-supported/,Not Currently Recommended
Get Out Get Active,Exercise,5316.76279147687,0.1880843737477,0.54,HIC (UK),13506,1,no (pre-post with matched adjustment),high,Medium,Published,Pro Bono Economics,Engage people disabled and non-disabled together to be active and have fun in an inclusive way,Unclear,https://www.activityalliance.org.uk/get_out_get_active,https://pbe.co.uk/publications/helping-funders-to-measure-what-matters/,Not Currently Recommended
Walking with the Wounded Employment,Employment support,5601.19047619048,0.178533475026567,Unclear (assume 1),HIC (UK),92,1,no (matched comparison group with difference-in-difference),high,Medium,Published,Pro Bono Economics,Employment (unclear amount of employment aid),unclear amount of employment aid,https://walkingwiththewounded.org.uk/,https://pbe.co.uk/insights/the-wellbeing-impacts-of-walking-with-the-woundeds-programmes/,Not Currently Recommended
Football Beyond Borders,"Mentoring, counselling, and exercise",8690.84551664727,0.1150636032,1,HIC (UK),153,1,no (matched comparison group with difference-in-difference),high,Medium,Published,Pro Bono Economics,"Sports, education and counselling (1 year of sports training, tutoring, counsel)","1 year of sports training, tutoring, counsel",https://www.footballbeyondborders.org/,https://pbe.co.uk/publications/investing-in-trusted-relationships-the-economic-value-of-football-beyond-borders-impact-on-childrens-wellbeing/,Not Currently Recommended
Deworm the World,Mass deworming,Unclear,Unclear,Unclear,LMICs,5094,1,yes (RCT),low,In-depth,Published,Happier Lives Institute,Mass deworming (1 year of deworming),1 year of deworming,https://www.evidenceaction.org/programs/deworm-the-world,https://www.happierlivesinstitute.org/report/a-can-of-worms/,Not Currently Recommended
